County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,State
Washington,4,0,1,,0,3,60,6,47,7,0,
Adams,6,0,3,,0,3,87,29,48,10,3,NEBRASKA - Nonmetropolitan Counties
Antelope,9,0,2,,0,7,19,2,16,1,0,
Arthur,0,0,0,,0,0,0,0,0,0,0,
Box Butte,1,0,0,,0,1,14,5,7,2,0,
Brown,0,0,0,,0,0,25,11,12,2,0,
Buffalo,10,0,6,,0,4,109,16,84,9,1,
Burt,2,0,1,,0,1,21,5,16,0,0,
Butler,5,0,2,,0,3,14,4,9,1,0,
Cedar,2,0,1,,0,1,23,0,20,3,0,
Chase,2,0,0,,0,2,7,0,6,1,0,
Cherry,0,0,0,,0,0,13,3,10,0,0,
Cheyenne,4,0,2,,0,2,15,4,8,3,0,
Clay,6,0,0,,0,6,15,10,1,4,0,
Colfax,5,0,4,,1,0,26,1,21,4,0,
Cuming,1,0,0,,0,1,14,5,7,2,0,
Custer,6,0,2,,0,4,68,21,42,5,0,
Dawes,2,0,0,,0,2,11,3,8,0,0,
Dawson,8,1,2,,0,5,50,9,37,4,0,
Dodge,19,0,7,,2,10,98,20,68,10,0,
Fillmore,1,0,0,,0,1,15,6,7,2,0,
Franklin,2,0,0,,0,2,7,3,2,2,0,
Furnas,3,0,0,,0,3,60,19,39,2,0,
Gage,25,0,5,,0,20,108,67,39,2,1,
Garfield,0,0,0,,0,0,0,0,0,0,0,
Gosper,2,0,0,,0,2,11,4,6,1,0,
Hayes,3,0,1,,0,2,4,0,4,0,0,
Hitchcock,4,1,3,,0,0,20,8,11,1,1,
Holt,2,0,1,,0,1,11,1,8,2,0,
Hooker,0,0,0,,0,0,2,0,2,0,0,
Kearney,3,0,0,,0,3,39,12,25,2,0,
Keith,2,0,1,,0,1,20,7,11,2,0,
Keya Paha,0,0,0,,0,0,1,0,0,1,0,
Kimball,0,0,0,,0,0,14,3,9,2,0,
Knox,2,0,0,,0,2,25,4,13,8,0,
Lincoln,19,0,2,,0,17,116,27,77,12,2,
Madison,10,0,2,,0,8,51,11,32,8,0,
Morrill,2,0,0,,0,2,39,6,29,4,0,
Nemaha,9,0,2,,0,7,61,17,40,4,0,
Otoe,3,0,0,,1,2,44,6,32,6,0,
Pawnee,1,0,0,,0,1,44,10,33,1,0,
Perkins,0,0,0,,0,0,21,7,10,4,0,
Phelps,2,0,1,,0,1,25,6,16,3,0,
Pierce,2,0,0,,0,2,11,5,5,1,0,
Platte,15,0,2,,0,13,82,12,63,7,0,
Red Willow,2,0,0,,0,2,18,7,9,2,0,
Richardson,0,0,0,,0,0,27,6,21,0,0,
Rock,0,0,0,,0,0,0,0,0,0,0,
Saline,5,0,1,,0,4,33,9,19,5,1,
Scotts Bluff,12,0,3,,1,8,128,62,58,8,0,
Sheridan,14,0,1,,1,12,33,7,21,5,0,
Sherman,1,0,0,,0,1,14,3,9,2,0,
Stanton,6,0,4,,0,2,41,5,36,0,1,
Thayer,1,0,0,,0,1,55,2,51,2,,
Thurston,6,0,0,,1,5,16,3,7,6,1,
Webster,2,0,0,,0,2,11,2,5,4,0,
Wheeler,3,0,0,,0,3,0,0,0,0,0,
York,2,0,2,,0,0,34,6,22,6,0,
Carson City,154,1,3,,18,132,971,206,681,84,6,NEVADA - Metropolitan Counties
Storey,43,1,1,,0,41,73,21,46,6,1,
Washoe,132,1,24,,7,100,770,202,465,103,7,
Churchill,28,0,5,,0,23,185,63,108,14,2,NEVADA - Nonmetropolitan Counties
Douglas,67,0,11,,2,54,795,117,633,45,3,
Elko,48,2,0,,0,46,193,38,127,28,4,
Esmeralda,1,0,0,,0,1,5,1,4,0,0,
Eureka,7,0,1,,1,5,38,19,17,2,0,
Humboldt,29,0,4,,0,25,67,32,30,5,2,
Lander,40,3,12,,1,24,112,57,45,10,1,
Lincoln,3,0,1,,0,2,37,9,27,1,2,
Lyon,137,3,15,,8,111,567,138,367,62,7,
Mineral,6,0,1,,0,5,21,12,1,8,0,
Nye,80,0,13,,12,55,915,338,465,112,1,
Pershing,29,2,4,,0,23,46,20,25,1,0,
White Pine,13,0,1,,3,9,82,25,42,15,3,
Rockingham,7,0,3,,0,4,2,0,1,1,0,NEW HAMPSHIRE - Metropolitan Counties
Strafford,4,0,2,,0,2,1,0,1,0,0,
Carroll,13,0,1,,2,10,78,19,52,7,0,NEW HAMPSHIRE - Nonmetropolitan Counties
Cheshire,0,0,0,,0,0,10,4,6,0,0,
Grafton,3,0,2,,0,1,5,0,5,0,0,
Merrimack,2,0,1,,0,1,0,0,0,0,0,
Atlantic,0,0,0,,0,0,0,0,0,0,0,NEW JERSEY - Metropolitan Counties
Bergen,8,0,0,,0,8,56,3,51,2,2,
Burlington,0,0,0,,0,0,0,0,0,0,0,
Camden,9,0,0,,1,8,32,2,30,0,0,
Camden County Police Department,"1,574",47,88,,427,"1,012","2,644",648,"1,492",504,94,
Cape May,0,0,0,,0,0,2,0,2,0,0,
Cumberland,0,0,0,,0,0,1,0,1,0,0,
Essex,95,1,0,,46,48,79,19,59,1,0,
Gloucester,6,0,0,,0,6,0,0,0,0,0,
Hudson,0,0,0,,0,0,0,0,0,0,0,
Hunterdon,0,0,0,,0,0,0,0,0,0,0,
Mercer,2,0,0,,1,1,8,2,6,0,0,
Middlesex,0,0,0,,0,0,0,0,0,0,0,
Monmouth,2,0,0,,0,2,1,0,1,0,0,
Morris,0,0,0,,0,0,0,0,0,0,0,
Ocean,0,0,0,,0,0,5,3,2,0,0,
Passaic,0,0,0,,0,0,0,0,0,0,0,
Salem,0,0,0,,0,0,0,0,0,0,0,
Somerset,0,0,0,,0,0,4,0,4,0,0,
Sussex,0,0,0,,0,0,0,0,0,0,0,
Union,0,0,0,,0,0,0,0,0,0,0,
Warren,0,0,0,,0,0,0,0,0,0,0,
Bernalillo,763,9,,52,122,580,"2,820",909,"1,452",459,103,NEW MEXICO - Metropolitan Counties
Dona Ana,188,6,,42,6,134,834,308,437,89,,
Sandoval,25,0,,3,1,21,166,47,111,8,,
Santa Fe,111,1,,8,13,89,656,397,257,2,,
Torrance,66,1,,11,4,50,193,106,59,28,,
Valencia,386,0,,19,11,356,"1,196",414,516,266,,
Catron,7,0,,0,0,7,17,3,12,2,,NEW MEXICO - Nonmetropolitan Counties
Chaves,62,1,,12,1,48,207,89,89,29,,
Cibola,78,0,,3,0,75,91,44,33,14,,
Colfax,12,0,,0,2,10,23,13,7,3,,
Curry,18,2,,2,1,13,158,74,68,16,,
De Baca,2,0,,0,1,1,31,16,11,4,,
Eddy,39,2,,0,1,36,328,63,202,63,,
Hidalgo,4,0,,0,1,3,18,11,6,1,,
Lea,22,1,,5,2,14,384,135,215,34,,
Lincoln,23,0,,4,0,19,102,48,49,5,,
Luna,44,0,,0,1,43,242,91,123,28,,
McKinley,85,1,,8,5,71,265,87,157,21,,
Mora,5,0,,0,0,5,25,12,8,5,,
Otero,124,0,,10,0,114,272,115,139,18,,
Quay,3,0,,0,0,3,29,12,15,2,,
San Miguel,8,0,,0,0,8,4,1,1,2,,
Sierra,35,2,,8,0,25,76,27,41,8,,
Socorro,18,0,,3,0,15,47,11,30,6,,
Union,2,0,,0,0,2,11,8,3,0,,
Albany,19,0,7,,0,12,157,24,124,9,0,NEW YORK - Metropolitan Counties
Broome,45,0,13,,5,27,528,141,362,25,0,
Chemung,20,1,5,,2,12,390,40,342,8,1,
Dutchess,35,0,17,,2,16,496,112,378,6,0,
Erie,71,0,0,,12,59,762,141,600,21,5,
Herkimer,2,0,,0,0,2,0,0,0,0,0,
Jefferson,38,0,15,,1,22,272,48,218,6,0,
Livingston,31,1,10,,0,20,312,48,249,15,0,
Madison,16,0,9,,0,7,116,24,81,11,1,
Nassau,"1,157",12,38,,478,629,"10,660","1,144","9,054",462,68,
Niagara,70,0,17,,20,33,822,166,609,47,3,
Oneida,71,0,45,,1,25,342,96,229,17,1,
Onondaga,187,4,42,,34,107,"1,783",306,"1,409",68,9,
Ontario,61,0,28,,7,26,904,157,730,17,0,
Orange,14,0,0,,1,13,17,0,17,0,1,
Orleans,20,0,8,,1,11,200,56,140,4,0,
Oswego,56,0,26,,3,27,304,68,218,18,0,
Putnam,16,0,3,,4,9,291,44,243,4,0,
Rensselaer,15,1,2,,3,9,249,39,201,9,2,
Rockland,7,0,0,,0,7,33,2,30,1,0,
Saratoga,85,2,14,,2,67,"1,102",167,892,43,0,
Schenectady,1,0,,0,1,0,16,6,9,1,0,
Schoharie,2,0,2,,0,0,49,15,34,0,2,
Suffolk,63,0,,0,0,63,0,0,0,0,0,
Suffolk County Police Department,"1,577",33,109,,541,894,"18,254","1,743","15,432","1,079",109,
Tioga,16,1,2,,1,12,181,51,119,11,1,
Ulster,30,1,4,,1,24,212,44,150,18,0,
Warren,44,0,17,,5,22,620,77,541,2,1,
Washington,27,0,20,,0,7,169,31,133,5,0,
Westchester Public Safety,72,0,,2,7,63,305,19,270,16,5,
Yates,16,0,5,,1,10,216,58,156,2,0,
Allegany,1,0,0,,0,1,1,0,1,0,0,NEW YORK - Nonmetropolitan Counties
Cattaraugus,34,0,19,,1,14,282,80,180,22,4,
Cayuga,22,1,15,,2,4,166,49,113,4,1,
Chautauqua,51,0,17,,6,28,571,181,368,22,2,
Chenango,22,0,8,,0,14,319,69,248,2,0,
Clinton,8,0,0,,0,8,13,2,11,0,0,
Columbia,19,0,4,,1,14,285,77,203,5,0,
Cortland,7,0,4,,2,1,246,43,203,0,0,
Delaware,29,0,22,,3,4,110,31,73,6,0,
Essex,0,0,0,,0,0,6,0,6,0,0,
Franklin,0,0,,0,0,0,0,0,0,0,0,
Fulton7,22,0,6,,0,16,345,51,283,11,2,
Genesee,39,0,16,,5,18,430,74,322,34,0,
Greene,7,0,,0,0,7,22,6,16,0,0,
Hamilton,3,0,,1,0,2,2,0,2,0,0,
Lewis,4,1,1,,0,2,65,26,38,1,0,
Montgomery,22,0,5,,3,14,392,47,343,2,0,
Otsego,19,0,0,,3,16,59,23,33,3,0,
Schuyler,7,0,1,,0,6,25,10,14,1,0,
Seneca,4,0,0,,0,4,51,14,35,2,0,
Steuben,13,0,7,,0,6,118,29,85,4,1,
St. Lawrence,14,0,2,,0,12,50,7,42,1,0,
Sullivan,29,1,0,,3,25,294,56,233,5,3,
Wyoming,14,0,3,,1,10,152,35,115,2,0,
Alamance,95,3,,6,6,80,752,328,372,52,2,NORTH CAROLINA - Metropolitan Counties
Alexander,83,4,,10,2,67,546,213,312,21,5,
Buncombe,155,5,,9,28,113,"1,826",666,"1,019",141,8,
Burke,91,5,,2,16,68,"1,143",459,575,109,2,
Cabarrus,38,1,,3,19,15,730,231,461,38,4,
Caldwell,95,1,,11,12,71,"1,271",492,686,93,6,
Catawba,165,3,,21,16,125,"1,261",476,712,73,14,
Chatham,55,2,,6,9,38,602,258,323,21,1,
Currituck,37,0,,5,2,30,356,129,215,12,1,
Davidson,105,5,,5,21,74,"1,621",938,562,121,5,
Davie,58,0,,5,3,50,589,190,375,24,1,
Durham,80,5,,5,22,48,566,231,295,40,0,
Edgecombe,65,5,,6,13,41,461,202,233,26,7,
Forsyth,276,2,,13,40,221,"2,168",551,"1,508",109,19,
Franklin,69,4,,7,9,49,889,376,451,62,6,
Gaston,15,0,,0,0,15,0,0,0,0,0,
Haywood,148,1,,13,10,124,975,454,457,64,7,
Iredell,205,3,,11,17,174,"1,449",457,874,118,4,
Johnston,160,3,,16,39,102,"1,874",776,"1,000",98,7,
Lincoln,85,0,,12,4,69,"1,024",305,655,64,6,
Madison,7,1,,0,1,5,182,86,91,5,1,
Nash,70,2,,11,5,52,425,183,218,24,2,
New Hanover,155,2,,15,44,94,"1,779",468,"1,249",62,19,
Orange,43,2,,5,6,30,505,213,273,19,1,
Pamlico,6,0,,1,2,3,207,33,158,16,1,
Pender,57,0,,11,8,38,867,208,607,52,2,
Person,49,6,,3,3,37,294,133,149,12,2,
Pitt,157,5,,6,28,118,"1,066",423,573,70,1,
Rockingham,66,6,,2,14,44,916,406,466,44,4,
Rowan,151,7,,12,14,118,905,293,562,50,4,
Stokes,45,1,,0,0,44,772,216,514,42,1,
Union,182,6,,21,38,117,"2,102",618,"1,387",97,16,
Wake,173,5,,15,25,128,"1,678",582,967,129,14,
Wayne,133,0,,4,29,100,"1,592",676,796,120,4,
Yadkin,57,1,,4,6,46,485,179,268,38,1,
Anson,33,0,,0,5,28,274,184,85,5,2,NORTH CAROLINA - Nonmetropolitan Counties
Ashe,24,0,,3,0,21,197,73,110,14,0,
Beaufort,68,1,,5,9,53,496,190,285,21,1,
Camden,10,0,,1,2,7,64,17,46,1,0,
Caswell,73,4,,1,6,62,381,98,267,16,0,
Cherokee,36,0,,6,5,25,611,172,404,35,9,
Chowan,16,0,,1,1,14,127,60,64,3,4,
Clay,26,1,,1,1,23,278,117,138,23,0,
Columbus,72,2,,4,13,53,"1,004",523,416,65,2,
Dare,13,0,,1,0,12,523,128,389,6,0,
Duplin,93,5,,5,7,76,750,284,415,51,8,
Halifax5,69,3,,1,13,52,,,504,18,6,
Harnett,233,4,,14,33,182,"1,868",734,"1,032",102,19,
Hertford,21,5,,0,2,14,227,124,93,10,0,
Lee,47,2,,4,10,31,515,136,346,33,3,
Lenoir,122,3,,10,24,85,663,285,348,30,5,
Martin,49,0,,1,6,42,234,100,115,19,5,
McDowell,37,1,,8,9,19,706,247,383,76,22,
Montgomery,43,2,,4,4,33,284,149,120,15,3,
Northampton,34,2,,4,4,24,276,163,97,16,3,
Pasquotank,35,1,,2,3,29,259,92,160,7,0,
Perquimans,4,0,,0,0,4,86,59,24,3,2,
Polk,16,1,,3,1,11,255,78,161,16,1,
Richmond5,156,3,,6,23,124,,440,,66,5,
Rutherford,103,0,,0,5,98,"1,010",542,391,77,9,
Sampson5,100,3,,9,22,66,,,359,75,5,
Scotland5,57,3,,7,7,40,,,167,44,11,
Stanly,29,1,,1,2,25,440,183,244,13,7,
Surry,51,1,,13,9,28,"1,089",466,567,56,13,
Swain,20,0,,4,2,14,205,101,89,15,0,
Transylvania,24,0,,5,6,13,309,137,156,16,3,
Tyrrell,8,0,,2,0,6,40,5,35,0,0,
Vance,69,5,,1,13,50,707,309,362,36,6,
Watauga,26,0,,0,3,23,293,28,257,8,0,
Wilkes,115,2,,8,12,93,740,330,373,37,12,
Wilson,57,6,,2,4,45,731,201,501,29,2,
Yancey,7,0,,2,0,5,66,36,28,2,0,
Burleigh,20,0,5,,0,15,246,82,128,36,1,NORTH DAKOTA - Metropolitan Counties
Cass,17,0,11,,0,6,171,59,91,21,3,
Grand Forks,4,0,1,,0,3,113,35,69,9,0,
Morton,10,0,4,,1,5,115,26,74,15,4,
Oliver,0,0,0,,0,0,7,3,3,1,0,
Sioux,0,0,0,,0,0,2,2,0,0,0,
Adams,1,0,0,,0,1,5,1,4,0,0,NORTH DAKOTA - Nonmetropolitan Counties
Barnes,0,0,0,,0,0,57,30,21,6,0,
Benson,3,0,0,,0,3,41,4,31,6,1,
Billings,1,0,0,,0,1,10,3,7,0,0,
Bottineau,4,0,0,,0,4,70,19,37,14,0,
Bowman,0,0,0,,0,0,7,1,1,5,0,
Burke,0,0,0,,0,0,5,1,4,0,0,
Cavalier,3,0,2,,0,1,30,9,19,2,0,
Dickey,0,0,0,,0,0,10,3,7,0,1,
Divide,0,0,0,,0,0,2,0,1,1,0,
Dunn,1,0,0,,0,1,30,5,21,4,1,
Eddy,7,0,4,,0,3,27,5,19,3,0,
Emmons,3,0,1,,0,2,36,9,21,6,1,
Foster,0,0,0,,0,0,6,4,2,0,0,
Golden Valley,1,1,0,,0,0,2,0,1,1,0,
Grant,2,0,1,,0,1,7,4,3,0,0,
Griggs,0,0,0,,0,0,13,6,6,1,0,
Hettinger,2,0,0,,0,2,23,4,16,3,1,
Kidder,0,0,0,,0,0,14,2,5,7,0,
Lamoure,1,0,0,,0,1,1,0,0,1,0,
Logan,0,0,0,,0,0,6,2,4,0,0,
McHenry,2,0,0,,0,2,46,12,28,6,0,
McIntosh,0,0,0,,0,0,3,2,1,0,0,
McKenzie,25,0,5,,0,20,205,40,122,43,0,
McLean,12,0,3,,0,9,132,24,88,20,1,
Mercer,9,0,0,,1,8,22,5,14,3,0,
Mountrail,6,0,1,,0,5,77,5,61,11,2,
Nelson,3,0,1,,0,2,47,7,36,4,0,
Pembina,3,0,1,,0,2,69,16,37,16,1,
Pierce,3,0,1,,0,2,20,8,8,4,0,
Ramsey,4,0,0,,0,4,34,5,18,11,0,
Ransom,6,1,0,,0,5,24,10,8,6,0,
Renville,2,0,0,,0,2,11,1,6,4,0,
Richland,7,0,3,,0,4,100,19,70,11,0,
Rolette,6,0,0,,1,5,46,14,27,5,1,
Sargent,5,0,1,,0,4,13,2,8,3,0,
Sheridan,1,0,0,,0,1,21,4,16,1,0,
Slope,0,0,0,,0,0,1,0,0,1,0,
Stark,3,0,0,,0,3,48,7,29,12,0,
Steele,1,0,0,,0,1,1,0,1,0,0,
Stutsman,4,0,4,,0,0,68,18,44,6,0,
Traill,3,0,1,,1,1,56,16,36,4,1,
Walsh,7,0,1,,0,6,87,12,70,5,1,
Ward,30,0,7,,6,17,227,88,91,48,0,
Wells,2,0,0,,0,2,4,0,2,2,0,
Williams,18,0,4,,0,14,224,54,129,41,0,
Allen,27,0,6,,14,7,870,205,639,26,3,OHIO - Metropolitan Counties
Belmont,45,1,21,,1,22,374,77,274,23,1,
Brown,17,1,5,,2,9,309,103,191,15,1,
Butler,45,0,17,,6,22,"1,035",276,748,11,2,
Clark,46,0,10,,9,27,"1,174",303,807,64,4,
Clermont,98,1,27,,7,63,"1,366",501,814,51,3,
Delaware,63,1,23,,14,25,"1,107",246,847,14,5,
Fairfield,40,0,14,,1,25,946,143,791,12,4,
Fulton,15,2,7,,1,5,250,82,156,12,4,
Geauga,20,2,7,,2,9,210,49,144,17,2,
Greene,15,0,7,,2,6,384,101,262,21,4,
Hamilton,183,2,41,,38,102,"2,743",436,"2,163",144,12,
Hocking,14,0,5,,1,8,358,120,218,20,3,
Jefferson,2,0,0,,0,2,55,19,33,3,0,
Lake,240,0,,15,10,215,341,93,244,4,1,
Lawrence,75,1,19,,8,47,663,191,443,29,2,
Lorain,50,0,17,,8,25,686,260,385,41,4,
Lucas,128,3,26,,31,68,852,240,518,94,5,
Madison,20,0,8,,4,8,444,148,274,22,7,
Mahoning,1,0,,0,0,1,94,30,53,11,0,
Medina,2,0,0,,0,2,106,36,70,0,0,
Miami,24,0,12,,2,10,372,107,252,13,2,
Montgomery,234,7,50,,89,88,"1,440",527,723,190,23,
Perry,15,0,10,,2,3,150,42,105,3,2,
Pickaway,29,0,3,,3,23,700,173,497,30,2,
Portage,48,4,,10,13,21,"1,109",294,778,37,7,
Richland,57,3,24,,7,23,"1,164",447,694,23,5,
Stark,89,1,22,,17,49,"1,659",379,"1,146",134,10,
Summit,63,1,22,,13,27,"1,050",214,791,45,7,
Trumbull,19,1,4,,3,11,332,130,174,28,2,
Union,17,0,7,,1,9,173,48,113,12,1,
Warren,58,0,11,,13,34,912,150,703,59,2,
Wood,13,0,7,,1,5,358,85,251,22,4,
Adams,6,0,3,,0,3,157,57,83,17,1,OHIO - Nonmetropolitan Counties
Ashland,31,1,15,,4,11,190,63,116,11,0,
Ashtabula,54,1,10,,14,29,640,172,438,30,4,
Athens,19,0,5,,3,11,458,145,284,29,1,
Champaign,17,1,4,,0,12,330,108,191,31,3,
Clinton,2,0,0,,0,2,28,9,19,0,0,
Columbiana,19,1,9,,0,9,5,3,2,0,0,
Coshocton,39,0,9,,5,25,514,184,307,23,7,
Crawford,6,0,5,,0,1,138,61,70,7,0,
Defiance,22,1,13,,3,5,141,38,102,1,0,
Erie,3,0,0,,1,2,378,84,289,5,0,
Fayette,24,2,10,,5,7,513,157,346,10,2,
Gallia,21,1,4,,2,14,302,98,188,16,1,
Hancock,12,1,3,,2,6,227,80,142,5,0,
Hardin,8,0,2,,1,5,147,43,97,7,2,
Harrison,6,0,1,,2,3,94,34,56,4,1,
Henry,20,2,1,,1,16,164,43,120,1,0,
Highland,26,4,6,,1,15,385,130,237,18,7,
Holmes,5,1,4,,0,0,204,50,139,15,1,
Jackson,26,1,12,,7,6,234,73,148,13,4,
Knox,33,0,18,,0,15,487,99,388,0,2,
Logan,14,1,3,,0,10,368,148,210,10,2,
Marion,38,0,19,,12,7,"1,175",166,"1,001",8,4,
Meigs,36,2,4,,6,24,232,71,146,15,5,
Mercer,11,0,3,,1,7,138,18,111,9,1,
Monroe,11,0,5,,0,6,56,19,31,6,1,
Morgan,24,0,5,,1,18,172,57,101,14,3,
Muskingum,48,0,27,,9,12,"1,029",310,653,66,5,
Noble,0,0,0,,0,0,88,24,59,5,1,
Ottawa,8,0,,5,2,1,231,50,178,3,0,
Paulding,14,1,7,,1,5,138,39,99,0,0,
Pike,22,1,7,,2,12,335,100,202,33,0,
Preble,14,2,6,,3,3,307,125,169,13,0,
Putnam,13,1,8,,0,4,91,21,68,2,0,
Ross,120,1,31,,12,76,"1,316",405,844,67,11,
Sandusky,54,0,,0,1,53,211,41,166,4,,
Scioto,40,0,13,,11,16,"1,026",344,620,62,9,
Seneca,70,0,,4,64,2,319,91,228,0,0,
Shelby,15,0,2,,1,12,245,59,177,9,2,
Tuscarawas,10,0,4,,1,5,346,107,215,24,2,
Van Wert,9,1,7,,0,1,138,46,88,4,1,
Vinton,20,0,8,,2,10,108,50,54,4,0,
Washington,31,1,6,,1,23,305,94,190,21,2,
Wayne,32,0,12,,2,18,497,202,270,25,0,
Wyandot,2,0,0,,0,2,17,8,9,0,0,
Canadian,15,0,3,,1,11,144,29,97,18,0,OKLAHOMA - Metropolitan Counties
Cleveland,58,1,14,,3,40,286,102,144,40,6,
Comanche,21,0,3,,2,16,273,109,129,35,2,
Cotton,2,0,0,,0,2,40,9,30,1,1,
Creek,57,2,11,,3,41,431,139,233,59,6,
Garfield,17,0,6,,0,11,152,52,82,18,6,
Grady,34,0,7,,0,27,334,114,187,33,6,
Le Flore,68,3,8,,2,55,376,139,207,30,5,
Lincoln,25,1,5,,2,17,149,50,81,18,4,
Logan,34,1,12,,1,20,327,145,152,30,3,
McClain,26,1,8,,2,15,251,89,135,27,3,
Oklahoma,32,5,3,,0,24,183,52,97,34,0,
Okmulgee,36,1,5,,3,27,309,145,127,37,4,
Osage,47,0,13,,4,30,370,131,199,40,4,
Pawnee,36,0,0,,9,27,93,47,28,18,2,
Rogers,89,2,14,,6,67,626,260,296,70,8,
Sequoyah,72,0,13,,1,58,406,171,186,49,6,
Tulsa,241,2,26,,12,201,929,403,341,185,6,
Wagoner,68,1,12,,6,49,601,231,313,57,10,
Adair,73,0,1,,1,71,191,75,95,21,3,OKLAHOMA - Nonmetropolitan Counties
Alfalfa,3,0,1,,0,2,16,5,9,2,1,
Atoka,3,0,1,,1,1,55,20,28,7,2,
Beaver,0,0,0,,0,0,27,9,17,1,0,
Beckham,21,0,2,,1,18,148,60,76,12,8,
Blaine,2,0,0,,1,1,41,24,15,2,0,
Caddo,21,0,3,,0,18,184,55,114,15,3,
Carter,20,1,6,,0,13,205,96,101,8,2,
Cherokee,88,0,10,,5,73,436,173,211,52,10,
Choctaw,16,0,0,,0,16,102,75,17,10,2,
Cimarron,0,0,0,,0,0,0,0,0,0,0,
Coal,4,0,1,,0,3,51,14,29,8,1,
Craig,7,0,2,,1,4,82,37,41,4,2,
Custer,8,0,3,,0,5,73,25,42,6,2,
Delaware,47,0,7,,3,37,237,103,107,27,4,
Dewey,2,0,0,,0,2,31,17,14,0,0,
Ellis,4,0,0,,0,4,44,20,22,2,0,
Garvin,49,1,8,,0,40,295,87,167,41,5,
Grant,2,0,2,,0,0,27,14,12,1,2,
Harmon,0,0,0,,0,0,20,8,12,0,0,
Harper,0,0,0,,0,0,9,2,7,0,0,
Haskell,11,0,1,,1,9,52,20,28,4,2,
Hughes,12,0,2,,2,8,104,34,54,16,2,
Jackson,16,1,2,,0,13,58,25,26,7,1,
Jefferson,3,0,2,,0,1,51,10,36,5,3,
Johnston,12,0,3,,0,9,118,48,54,16,4,
Kay,36,0,1,,1,34,76,43,23,10,1,
Kingfisher,3,0,2,,0,1,34,7,24,3,1,
Kiowa,1,0,0,,0,1,44,12,29,3,0,
Latimer,8,0,0,,0,8,65,27,29,9,3,
Love,5,0,1,,1,3,35,7,21,7,1,
Major,3,0,0,,0,3,55,27,25,3,0,
Marshall,19,0,1,,0,18,184,81,91,12,0,
Mayes,28,1,7,,0,20,287,124,129,34,4,
McCurtain,25,0,1,,3,21,308,118,169,21,4,
McIntosh,47,2,2,,1,42,210,89,94,27,5,
Murray,10,0,1,,0,9,27,9,14,4,0,
Muskogee,66,0,5,,1,60,261,96,120,45,15,
Noble,6,2,1,,0,3,90,37,47,6,1,
Nowata,2,0,0,,0,2,52,17,30,5,2,
Okfuskee,19,0,1,,0,18,93,41,30,22,1,
Payne,46,2,10,,1,33,308,118,160,30,7,
Pittsburg,45,2,9,,0,34,368,167,171,30,15,
Pontotoc,24,0,6,,0,18,184,78,85,21,2,
Pottawatomie,56,1,5,,0,50,426,143,205,78,5,
Pushmataha,2,0,0,,0,2,48,28,11,9,3,
Roger Mills,8,0,0,,0,8,49,13,28,8,2,
Seminole,22,2,4,,1,15,237,79,129,29,5,
Stephens,10,0,3,,0,7,222,71,127,24,1,
Texas,9,0,2,,0,7,51,20,28,3,0,
Tillman,3,0,0,,0,3,37,15,20,2,0,
Washita,19,0,4,,0,15,93,29,53,11,3,
Woods,4,0,0,,0,4,36,14,19,3,0,
Woodward,14,0,2,,0,12,71,18,48,5,0,
Benton,27,0,4,,0,23,183,49,120,14,4,OREGON - Metropolitan Counties
Clackamas,365,8,100,,80,177,"5,083",683,"3,815",585,20,
Columbia,18,0,4,,0,14,102,53,35,14,2,
Deschutes,76,1,16,,1,58,842,157,627,58,3,
Josephine,35,0,1,,5,29,372,127,118,127,5,
Lane,307,0,29,,12,266,"1,424",489,778,157,10,
Linn,36,0,,12,7,17,958,234,628,96,9,
Marion,65,5,,19,19,22,"2,176",415,"1,498",263,5,
Multnomah,119,1,16,,23,79,"1,352",130,"1,073",149,7,
Polk,43,1,7,,0,35,278,99,147,32,2,
Washington,287,4,78,,26,179,"1,921",325,"1,418",178,39,
Yamhill,35,0,10,,3,22,487,117,326,44,2,
Baker,2,0,,0,0,2,67,15,49,3,0,OREGON - Nonmetropolitan Counties
Clatsop,12,2,,0,2,8,214,64,125,25,1,
Coos,21,2,,1,4,14,652,168,401,83,1,
Crook,51,1,7,,0,43,180,50,106,24,4,
Harney,5,0,0,,0,5,65,15,13,37,1,
Hood River,17,0,5,,1,11,149,28,108,13,1,
Jefferson,28,2,2,,1,23,159,28,103,28,2,
Morrow,33,0,5,,2,26,209,43,141,25,4,
Tillamook,10,0,1,,0,9,181,63,92,26,3,
Umatilla,51,5,9,,1,36,433,147,235,51,7,
Union,11,1,1,,0,9,237,39,187,11,1,
Wasco,27,0,4,,1,22,96,36,56,4,2,
Wheeler,2,0,0,,0,2,5,3,1,1,0,
Allegheny,12,0,3,,1,8,0,0,0,0,0,PENNSYLVANIA - Metropolitan Counties
Berks,3,0,0,,0,3,0,0,0,0,0,
Blair,0,0,0,,0,0,0,0,0,0,0,
Bucks,0,0,0,,0,0,0,0,0,0,0,
Butler,0,0,0,,0,0,0,0,0,0,0,
Cumberland,1,0,0,,0,1,0,0,0,0,0,
Erie,0,0,0,,0,0,4,0,4,0,0,
Franklin,0,0,0,,0,0,0,0,0,0,0,
Lancaster,2,0,0,,0,2,0,0,0,0,0,
Lycoming,0,0,0,,0,0,0,0,0,0,0,
